"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"8300 Hz";"9 kHz";"METEOROLOGICAL AIDS(5.54A)";"5.54B";"METEOROLOGICAL AIDS(5.54A)";"";"";"Lightning detection systems";"";""

"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"";"Lightning detection systems";"";""
"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"ERC/REC 70-03";"ULP-AMI";"EN 302 195";"Within the band 9-315 kHz"

"11.3 kHz";"14 kHz";"RADIONAVIGATION";"";"RADIONAVIGATION";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"11.3 kHz";"14 kHz";"RADIONAVIGATION";"";"RADIONAVIGATION";"";"ERC/REC 70-03";"ULP-AMI";"EN 302 195";"Within the band 9-315 kHz"

"14 kHz";"19.95 kHz";"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA";"5.55, 5.55, 5.55, 5.55, 5.55, 5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"14 kHz";"19.95 kHz";"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA";"5.55, 5.55, 5.55, 5.55, 5.55, 5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Land military systems";"";""
"14 kHz";"19.95 kHz";"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA";"5.55, 5.55, 5.55, 5.55, 5.55, 5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Maritime military systems";"";""
"14 kHz";"19.95 kHz";"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA";"5.55, 5.55, 5.55, 5.55, 5.55, 5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"ULP-AMI";"EN 302 195";"Within the band 9-315 kHz"

